YEU,Eureka Airport,Eureka,Canada,79.99470,-85.81420,256,-6.00,America/Winnipeg
YEV,Inuvik Mike Zubko Airport,Inuvik,Canada,68.30420,-133.48300,224,-7.00,America/Edmonton
YFB,Iqaluit Airport,Iqaluit,Canada,63.75640,-68.55580,110,-5.00,America/Toronto
YFC,Fredericton Airport,Fredericton,Canada,45.86890,-66.53720,68,-4.00,America/Halifax
YFO,Flin Flon Airport,Flin Flon,Canada,54.67810,-101.68200,997,-6.00,America/Winnipeg
YFR,Fort Resolution Airport,Fort Resolution,Canada,61.18080,-113.69000,526,-7.00,America/Edmonton
YFS,Fort Simpson Airport,Fort Simpson,Canada,61.76020,-121.23700,555,-7.00,America/Edmonton
YGK,Kingston Norman Rogers Airport,Kingston,Canada,44.22530,-76.59690,305,-5.00,America/Toronto
YGL,La Grande Rivière Airport,La Grande Riviere,Canada,53.62530,-77.70420,639,-5.00,America/Toronto
YGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.77530,-64.47860,112,-5.00,America/Toronto
YGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,49.77830,-86.93940,1144,-5.00,America/Toronto
YGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.42470,-61.77810,35,-5.00,America/Toronto
YHB,Hudson Bay Airport,Hudson Bay,Canada,52.81670,-102.31100,1175,-6.00,America/Regina
YHD,Dryden Regional Airport,Dryden,Canada,49.83170,-92.74420,1354,-6.00,America/Winnipeg
YHI,Ulukhaktok Holman Airport,Holman Island,Canada,70.76280,-117.80600,117,-7.00,America/Edmonton
YHK,Gjoa Haven Airport,Gjoa Haven,Canada,68.63560,-95.84970,152,-7.00,America/Edmonton
YHM,John C. Munro Hamilton International Airport,Hamilton,Canada,43.17360,-79.93500,780,-5.00,America/Toronto
YHU,Montréal / Saint-Hubert Airport,Montreal,Canada,45.51750,-73.41690,90,-5.00,America/Toronto
YHY,Hay River / Merlyn Carter Airport,Hay River,Canada,60.83970,-115.78300,541,-7.00,America/Edmonton
YHZ,Halifax / Stanfield International Airport,Halifax,Canada,44.88080,-63.50860,477,-4.00,America/Halifax
YIB,Atikokan Municipal Airport,Atikokan,Canada,48.77390,-91.63860,1408,-5.00,America/Coral_Harbour
YIO,Pond Inlet Airport,Pond Inlet,Canada,72.68330,-77.96670,181,-5.00,America/Toronto
YJN,St Jean Airport,St. Jean,Canada,45.29440,-73.28110,136,-5.00,America/Toronto
YJT,Stephenville Airport,Stephenville,Canada,48.54420,-58.55000,84,-3.50,America/St_Johns
YKA,Kamloops Airport,Kamloops,Canada,50.70220,-120.44400,1133,-8.00,America/Vancouver
YKF,Waterloo Airport,Waterloo,Canada,43.46080,-80.37860,1055,-5.00,America/Toronto
YKL,Schefferville Airport,Schefferville,Canada,54.80530,-66.80530,1709,-5.00,America/Toronto
YKY,Kindersley Airport,Kindersley,Canada,51.51750,-109.18100,2277,-6.00,America/Regina
YKZ,Buttonville Municipal Airport,Toronto,Canada,43.86220,-79.37000,650,-5.00,America/Toronto
YLD,Chapleau Airport,Chapleau,Canada,47.82000,-83.34670,1470,-5.00,America/Toronto
YLJ,Meadow Lake Airport,Meadow Lake,Canada,54.12530,-108.52300,1576,-6.00,America/Regina
YLL,Lloydminster Airport,Lloydminster,Canada,53.30920,-110.07300,2193,-7.00,America/Edmonton
YLT,Alert Airport,Alert,Canada,82.51780,-62.28060,100,-5.00,America/Toronto
YLW,Kelowna International Airport,Kelowna,Canada,49.95610,-119.37800,1421,-8.00,America/Vancouver
YMA,Mayo Airport,Mayo,Canada,63.61640,-135.86800,1653,-8.00,America/Vancouver
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,50.33030,-105.55900,1892,-6.00,America/Regina
YMM,Fort McMurray Airport,Fort Mcmurray,Canada,56.65330,-111.22200,1211,-7.00,America/Edmonton
YMO,Moosonee Airport,Moosonee,Canada,51.29110,-80.60780,30,-5.00,America/Toronto
YMW,Maniwaki Airport,Maniwaki,Canada,46.27280,-75.99060,656,-5.00,America/Toronto
YMX,Montreal International (Mirabel) Airport,Montreal,Canada,45.67950,-74.03870,270,-5.00,America/Toronto
YNA,Natashquan Airport,Natashquan,Canada,50.19000,-61.78920,39,-5.00,America/Toronto
YND,Ottawa / Gatineau Airport,Gatineau,Canada,45.52170,-75.56360,211,-5.00,America/Toronto
YNM,Matagami Airport,Matagami,Canada,49.76170,-77.80280,918,-5.00,America/Toronto
YOC,Old Crow Airport,Old Crow,Canada,67.57060,-139.83900,824,-8.00,America/Vancouver
YOD,CFB Cold Lake,Cold Lake,Canada,54.40500,-110.27900,1775,-7.00,America/Edmonton
YOJ,High Level Airport,High Level,Canada,58.62140,-117.16500,1110,-7.00,America/Edmonton
YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.32250,-75.66920,374,-5.00,America/Toronto
YPA,Prince Albert Glass Field,Prince Albert,Canada,53.21420,-105.67300,1405,-6.00,America/Regina
YPE,Peace River Airport,Peace River,Canada,56.22690,-117.44700,1873,-7.00,America/Edmonton
YPG,Southport Airport,Portage-la-prairie,Canada,49.90310,-98.27382,885,-6.00,America/Winnipeg
YPL,Pickle Lake Airport,Pickle Lake,Canada,51.44640,-90.21420,1267,-5.00,America/Coral_Harbour
YPN,Port Menier Airport,Port Menier,Canada,49.83640,-64.28860,167,-5.00,America/Toronto
YPQ,Peterborough Airport,Peterborough,Canada,44.23000,-78.36330,628,-5.00,America/Toronto
YPR,Prince Rupert Airport,Prince Pupert,Canada,54.28610,-130.44501,116,-8.00,America/Vancouver
YPY,Fort Chipewyan Airport,Fort Chipewyan,Canada,58.76720,-111.11700,761,-7.00,America/Edmonton
YQA,Muskoka Airport,Muskoka,Canada,44.97470,-79.30330,925,-5.00,America/Toronto
YQB,Quebec Jean Lesage International Airport,Quebec,Canada,46.79110,-71.39330,244,-5.00,America/Toronto
YQF,Red Deer Regional Airport,Red Deer Industrial,Canada,52.18220,-113.89400,2968,-7.00,America/Edmonton
YQG,Windsor Airport,Windsor,Canada,42.27560,-82.95560,622,-5.00,America/Toronto
YQH,Watson Lake Airport,Watson Lake,Canada,60.11640,-128.82201,2255,-8.00,America/Vancouver
YQK,Kenora Airport,Kenora,Canada,49.78830,-94.36310,1332,-6.00,America/Winnipeg
YQL,Lethbridge County Airport,Lethbridge,Canada,49.63030,-112.80000,3048,-7.00,America/Edmonton
YQM,Greater Moncton International Airport,Moncton,Canada,46.11220,-64.67860,232,-4.00,America/Halifax
YQQ,Comox Airport,Comox,Canada,49.71080,-124.88700,84,-8.00,America/Vancouver
YQR,Regina International Airport,Regina,Canada,50.43190,-104.66600,1894,-6.00,America/Regina
YQT,Thunder Bay Airport,Thunder Bay,Canada,48.37190,-89.32390,653,-5.00,America/Toronto
YQU,Grande Prairie Airport,Grande Prairie,Canada,55.17970,-118.88500,2195,-7.00,America/Edmonton
YQV,Yorkton Municipal Airport,Yorkton,Canada,51.26470,-102.46200,1635,-6.00,America/Regina
YQW,North Battleford Airport,North Battleford,Canada,52.76920,-108.24400,1799,-6.00,America/Regina
YQX,Gander International Airport,Gander,Canada,48.93690,-54.56810,496,-3.50,America/St_Johns
YQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,46.16140,-60.04780,203,-4.00,America/Halifax
YQZ,Quesnel Airport,Quesnel,Canada,53.02610,-122.51000,1789,-8.00,America/Vancouver
YRB,Resolute Bay Airport,Resolute,Canada,74.71690,-94.96940,215,-6.00,America/Winnipeg
YRI,Rivière-du-Loup Airport,Riviere Du Loup,Canada,47.76440,-69.58470,427,-5.00,America/Toronto
YRJ,Roberval Airport,Roberval,Canada,48.52000,-72.26560,586,-5.00,America/Toronto
YRM,Rocky Mountain House Airport,Rocky Mountain House,Canada,52.42970,-114.90400,3244,-7.00,America/Edmonton
YRT,Rankin Inlet Airport,Rankin Inlet,Canada,62.81140,-92.11580,94,-6.00,America/Winnipeg
YSB,Sudbury Airport,Sudbury,Canada,46.62500,-80.79890,1141,-5.00,America/Toronto
YSC,Sherbrooke Airport,Sherbrooke,Canada,45.43860,-71.69140,792,-5.00,America/Toronto
YSJ,Saint John Airport,St. John,Canada,45.31610,-65.89030,357,-4.00,America/Halifax
YSM,Fort Smith Airport,Fort Smith,Canada,60.02030,-111.96200,671,-7.00,America/Edmonton
YSR,Nanisivik Airport,Nanisivik,Canada,72.98220,-84.61360,2106,-5.00,America/Toronto
YSU,Summerside Airport,Summerside,Canada,46.44060,-63.83360,56,-4.00,America/Halifax
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,71.99390,-125.24300,282,-7.00,America/Edmonton
YTE,Cape Dorset Airport,Cape Dorset,Canada,64.23000,-76.52670,164,-5.00,America/Toronto
YTH,Thompson Airport,Thompson,Canada,55.80110,-97.86420,729,-6.00,America/Winnipeg
YTR,CFB Trenton,Trenton,Canada,44.11890,-77.52810,283,-5.00,America/Toronto
YTS,Timmins/Victor M. Power,Timmins,Canada,48.56970,-81.37670,967,-5.00,America/Toronto
YTZ,Billy Bishop Toronto City Centre Airport,Toronto,Canada,43.62750,-79.39620,252,-5.00,America/Toronto
YUB,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,69.43330,-133.02600,15,-7.00,America/Edmonton
YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.47060,-73.74080,118,-5.00,America/Toronto
YUT,Repulse Bay Airport,Repulse Bay,Canada,66.52140,-86.22470,80,-6.00,America/Winnipeg
YUX,Hall Beach Airport,Hall Beach,Canada,68.77610,-81.24250,30,-5.00,America/Toronto
YUY,Rouyn Noranda Airport,Rouyn,Canada,48.20610,-78.83560,988,-5.00,America/Toronto
YVC,La Ronge Airport,La Ronge,Canada,55.15140,-105.26200,1242,-6.00,America/Regina
YVG,Vermilion Airport,Vermillion,Canada,53.35580,-110.82400,2025,-7.00,America/Edmonton
YVM,Qikiqtarjuaq Airport,Broughton Island,Canada,67.54580,-64.03140,21,-5.00,America/Toronto
YVO,Val-d'Or Airport,Val D'or,Canada,48.05330,-77.78280,1107,-5.00,America/Toronto
YVP,Kuujjuaq Airport,Quujjuaq,Canada,58.09610,-68.42690,129,-5.00,America/Toronto
YVQ,Norman Wells Airport,Norman Wells,Canada,65.28160,-126.79800,238,-7.00,America/Edmonton
YVR,Vancouver International Airport,Vancouver,Canada,49.19390,-123.18400,14,-8.00,America/Vancouver
YVT,Buffalo Narrows Airport,Buffalo Narrows,Canada,55.84190,-108.41800,1423,-6.00,America/Regina
YVV,Wiarton Airport,Wiarton,Canada,44.74580,-81.10720,729,-5.00,America/Toronto
YWA,Petawawa Airport,Petawawa,Canada,45.95220,-77.31920,427,-5.00,America/Toronto
YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,49.91000,-97.23990,783,-6.00,America/Winnipeg
YWK,Wabush Airport,Wabush,Canada,52.92190,-66.86440,1808,-4.00,America/Halifax
YWL,Williams Lake Airport,Williams Lake,Canada,52.18310,-122.05400,3085,-8.00,America/Vancouver
YWY,Wrigley Airport,Wrigley,Canada,63.20940,-123.43700,489,-7.00,America/Edmonton
YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,49.61080,-115.78200,3082,-7.00,America/Edmonton
YXD,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,53.57250,-113.52100,2202,-7.00,America/Edmonton
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,52.17080,-106.70000,1653,-6.00,America/Regina
YXH,Medicine Hat Airport,Medicine Hat,Canada,50.01890,-110.72100,2352,-7.00,America/Edmonton
YXJ,Fort St John Airport,Fort Saint John,Canada,56.23810,-120.74000,2280,-7.00,America/Dawson_Creek
YXL,Sioux Lookout Airport,Sioux Lookout,Canada,50.11390,-91.90530,1258,-6.00,America/Winnipeg
YXP,Pangnirtung Airport,Pangnirtung,Canada,66.14500,-65.71360,75,-5.00,America/Toronto
YXR,Earlton (Timiskaming Regional) Airport,Earlton,Canada,47.69740,-79.84735,800,-5.00,America/Toronto
YXS,Prince George Airport,Prince George,Canada,53.88940,-122.67900,2267,-8.00,America/Vancouver
YXT,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,54.46850,-128.57601,713,-8.00,America/Vancouver
YXU,London Airport,London,Canada,43.03560,-81.15390,912,-5.00,America/Toronto
YXX,Abbotsford Airport,Abbotsford,Canada,49.02530,-122.36100,195,-8.00,America/Vancouver
YXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,60.70960,-135.06700,2317,-8.00,America/Vancouver
YYB,North Bay Airport,North Bay,Canada,46.36360,-79.42280,1215,-5.00,America/Toronto
YYC,Calgary International Airport,Calgary,Canada,51.11390,-114.02000,3557,-7.00,America/Edmonton
YYD,Smithers Airport,Smithers,Canada,54.82470,-127.18300,1712,-8.00,America/Vancouver
YYE,Fort Nelson Airport,Fort Nelson,Canada,58.83640,-122.59700,1253,-8.00,America/Vancouver
YYF,Penticton Airport,Penticton,Canada,49.46310,-119.60200,1129,-8.00,America/Vancouver
YYG,Charlottetown Airport,Charlottetown,Canada,46.29000,-63.12110,160,-4.00,America/Halifax
YYH,Taloyoak Airport,Spence Bay,Canada,69.54670,-93.57670,92,-7.00,America/Edmonton
YYJ,Victoria International Airport,Victoria,Canada,48.64690,-123.42600,63,-8.00,America/Vancouver
YYL,Lynn Lake Airport,Lynn Lake,Canada,56.86390,-101.07600,1170,-6.00,America/Winnipeg
YYN,Swift Current Airport,Swift Current,Canada,50.29190,-107.69100,2680,-6.00,America/Regina
YYQ,Churchill Airport,Churchill,Canada,58.73920,-94.06500,94,-6.00,America/Winnipeg
YYR,Goose Bay Airport,Goose Bay,Canada,53.31920,-60.42580,160,-4.00,America/Halifax
YYT,St. John's International Airport,St. John's,Canada,47.61860,-52.75190,461,-3.50,America/St_Johns
YYU,Kapuskasing Airport,Kapuskasing,Canada,49.41390,-82.46750,743,-5.00,America/Toronto
YYW,Armstrong Airport,Armstrong,Canada,50.29030,-88.90970,1058,-5.00,America/Toronto
YYY,Mont Joli Airport,Mont Joli,Canada,48.60860,-68.20810,172,-5.00,America/Toronto
YYZ,Lester B. Pearson International Airport,Toronto,Canada,43.67720,-79.63060,569,-5.00,America/Toronto
YZD,Downsview Airport,Toronto,Canada,43.74250,-79.46560,652,-5.00,America/Toronto
YZE,Gore Bay Manitoulin Airport,Gore Bay,Canada,45.88530,-82.56780,635,-5.00,America/Toronto
YZF,Yellowknife Airport,Yellowknife,Canada,62.46280,-114.44000,675,-7.00,America/Edmonton
YZH,Slave Lake Airport,Slave Lake,Canada,55.29310,-114.77700,1912,-7.00,America/Edmonton
YZP,Sandspit Airport,Sandspit,Canada,53.25430,-131.81400,21,-8.00,America/Vancouver
YZR,Chris Hadfield Airport,Sarnia,Canada,42.99940,-82.30890,594,-5.00,America/Toronto
YZT,Port Hardy Airport,Port Hardy,Canada,50.68060,-127.36700,71,-8.00,America/Vancouver
YZU,Whitecourt Airport,Whitecourt,Canada,54.14390,-115.78700,2567,-7.00,America/Edmonton
YZV,Sept-Îles Airport,Sept-iles,Canada,50.22330,-66.26560,180,-5.00,America/Toronto
YZW,Teslin Airport,Teslin,Canada,60.17280,-132.74300,2313,-8.00,America/Vancouver
YZX,CFB Greenwood,Greenwood,Canada,44.98440,-64.91690,92,-4.00,America/Halifax
ZFA,Faro Airport,Faro,Canada,62.20750,-133.37601,2351,-8.00,America/Vancouver
ZFM,Fort Mcpherson Airport,Fort Mcpherson,Canada,67.40750,-134.86099,116,-7.00,America/Edmonton
BJA,Soummam Airport,Bejaja,Algeria,36.71200,5.06992,20,1.00,Africa/Algiers
ALG,Houari Boumediene Airport,Algier,Algeria,36.69100,3.21541,82,1.00,Africa/Algiers
DJG,Djanet Inedbirene Airport,Djanet,Algeria,24.29280,9.45244,3176,1.00,Africa/Algiers
QFD,Boufarik Airport,Boufarik,Algeria,36.54580,2.87611,335,1.00,Africa/Algiers
VVZ,Illizi Takhamalt Airport,Illizi,Algeria,26.72350,8.62265,1778,1.00,Africa/Algiers
TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,22.81150,5.45108,4518,1.00,Africa/Algiers
GJL,Jijel Ferhat Abbas Airport,Jijel,Algeria,36.79510,5.87361,36,1.00,Africa/Algiers
AAE,Annaba Airport,Annaba,Algeria,36.82220,7.80917,16,1.00,Africa/Algiers
CZL,Mohamed Boudiaf International Airport,Constantine,Algeria,36.27600,6.62039,2265,1.00,Africa/Algiers
TEE,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,35.43160,8.12072,2661,1.00,Africa/Algiers
HRM,Hassi R'Mel Airport,Tilrempt,Algeria,32.93040,3.31154,2540,1.00,Africa/Algiers
TID,Bou Chekif Airport,Tiaret,Algeria,35.34110,1.46315,3245,1.00,Africa/Algiers
TIN,Tindouf Airport,Tindouf,Algeria,27.70040,-8.16710,1453,1.00,Africa/Algiers
QAS,Ech Cheliff Airport,Ech-cheliff,Algeria,36.21270,1.33177,463,1.00,Africa/Algiers
TAF,Tafaraoui Airport,Oran,Algeria,35.54240,-0.53228,367,1.00,Africa/Algiers
TLM,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,35.01670,-1.45000,814,1.00,Africa/Algiers
ORN,Es Senia Airport,Oran,Algeria,35.62390,-0.62118,295,1.00,Africa/Algiers
MUW,Ghriss Airport,Ghriss,Algeria,35.20770,0.14714,1686,1.00,Africa/Algiers
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,27.83760,-0.18641,919,1.00,Africa/Algiers
BSK,Biskra Airport,Biskra,Algeria,34.79330,5.73823,289,1.00,Africa/Algiers
ELG,El Golea Airport,El Golea,Algeria,30.57130,2.85959,1306,1.00,Africa/Algiers
GHA,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,32.38410,3.79411,1512,1.00,Africa/Algiers
HME,Oued Irara Airport,Hassi Messaoud,Algeria,31.67300,6.14044,463,1.00,Africa/Algiers
INZ,In Salah Airport,In Salah,Algeria,27.25100,2.51202,896,1.00,Africa/Algiers
TGR,Touggourt Sidi Madhi Airport,Touggourt,Algeria,33.06780,6.08867,279,1.00,Africa/Algiers
LOO,Laghouat Airport,Laghouat,Algeria,33.76440,2.92834,2510,1.00,Africa/Algiers
TMX,Timimoun Airport,Timimoun,Algeria,29.23710,0.27603,1027,1.00,Africa/Algiers
OGX,Ain el Beida Airport,Ouargla,Algeria,31.91720,5.41278,492,1.00,Africa/Algiers
IAM,In Aménas Airport,Zarzaitine,Algeria,28.05150,9.64291,1847,1.00,Africa/Algiers
COO,Cadjehoun Airport,Cotonou,Benin,6.35723,2.38435,19,1.00,Africa/Porto-Novo
OUA,Ouagadougou Airport,Ouagadougou,Burkina Faso,12.35320,-1.51242,1037,0.00,Africa/Ouagadougou
BOY,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,11.16010,-4.33097,1511,0.00,Africa/Ouagadougou
ACC,Kotoka International Airport,Accra,Ghana,5.60519,-0.16679,205,0.00,Africa/Accra
TML,Tamale Airport,Tamale,Ghana,9.55719,-0.86321,553,0.00,Africa/Accra
NYI,Sunyani Airport,Sunyani,Ghana,7.36183,-2.32876,1014,0.00,Africa/Accra
TKD,Takoradi Airport,Takoradi,Ghana,4.89606,-1.77476,21,0.00,Africa/Accra
ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.26139,-3.92629,21,0.00,Africa/Abidjan
BYK,Bouaké Airport,Bouake,Cote d'Ivoire,7.73880,-5.07367,1230,0.00,Africa/Abidjan
DJO,Daloa Airport,Daloa,Cote d'Ivoire,6.79281,-6.47319,823,0.00,Africa/Abidjan
HGO,Korhogo Airport,Korhogo,Cote d'Ivoire,9.38718,-5.55666,1214,0.00,Africa/Abidjan
MJC,Man Airport,Man,Cote d'Ivoire,7.27207,-7.58736,1089,0.00,Africa/Abidjan
SPY,San Pedro Airport,San Pedro,Cote d'Ivoire,4.74672,-6.66082,26,0.00,Africa/Abidjan
ASK,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,6.90317,-5.36558,699,0.00,Africa/Abidjan
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.00679,7.26317,1123,1.00,Africa/Lagos
AKR,Akure Airport,Akure,Nigeria,7.24674,5.30101,1100,1.00,Africa/Lagos
BNI,Benin Airport,Benin,Nigeria,6.31698,5.59950,258,1.00,Africa/Lagos
CBQ,Margaret Ekpo International Airport,Calabar,Nigeria,4.97602,8.34720,210,1.00,Africa/Lagos
ENU,Akanu Ibiam International Airport,Enugu,Nigeria,6.47427,7.56196,466,1.00,Africa/Lagos
